value,Wall,Door_Start,Door,Door_Passed,Wall_End
0,0.3733606557377049,0.75625,0.08947368421052632,0.00625,0.30606060606060603
1,0.01680327868852459,0.00625,0.0017543859649122807,0.00625,0.0030303030303030303
2,0.033196721311475406,0.00625,0.0017543859649122807,0.00625,0.0030303030303030303
3,0.033196721311475406,0.00625,0.0017543859649122807,0.06875,0.0030303030303030303
4,0.012704918032786885,0.00625,0.0017543859649122807,0.00625,0.0030303030303030303
5,0.033196721311475406,0.00625,0.0017543859649122807,0.00625,0.0030303030303030303
6,0.04549180327868852,0.00625,0.0017543859649122807,0.00625,0.0030303030303030303
7,0.024999999999999998,0.00625,0.01929824561403509,0.00625,0.03333333333333333
8,0.020901639344262292,0.00625,0.0017543859649122807,0.00625,0.0030303030303030303
9,0.40614754098360656,0.19375,0.8789473684210527,0.88125,0.6393939393939394
