value,Wall,Door_Start,Door,Door_Passed,Wall_End
0,0.12745901639344262,0.00625,0.0017543859649122807,0.13125,0.03333333333333333
1,0.033196721311475406,0.00625,0.01929824561403509,0.13125,0.18484848484848485
2,0.21762295081967215,0.06875,0.14210526315789473,0.13125,0.12424242424242424
3,0.14795081967213114,0.31875,0.24736842105263157,0.25625,0.06363636363636364
4,0.13565573770491804,0.19375,0.28245614035087724,0.13125,0.21515151515151515
5,0.13975409836065575,0.19375,0.12456140350877193,0.06875,0.09393939393939395
6,0.029098360655737704,0.00625,0.054385964912280704,0.00625,0.12424242424242424
7,0.07418032786885247,0.13125,0.0017543859649122807,0.06875,0.06363636363636364
8,0.01680327868852459,0.00625,0.0719298245614035,0.06875,0.03333333333333333
9,0.07827868852459018,0.06875,0.054385964912280704,0.00625,0.06363636363636364
