value,Wall,Door_Start,Door,Door_Passed,Wall_End
0,0.06595744680851064,0.025,0.0071428571428571435,0.025,0.02
1,0.002127659574468085,0.025,0.15,0.025,0.02
2,0.002127659574468085,0.025,0.15,0.025,0.22000000000000003
3,0.002127659574468085,0.025,0.2928571428571428,0.025,0.02
4,0.38510638297872346,0.525,0.15,0.525,0.22000000000000003
5,0.448936170212766,0.275,0.22142857142857145,0.275,0.22000000000000003
6,0.04468085106382979,0.025,0.0071428571428571435,0.025,0.02
7,0.02340425531914894,0.025,0.0071428571428571435,0.025,0.22000000000000003
8,0.02340425531914894,0.025,0.0071428571428571435,0.025,0.02
9,0.002127659574468085,0.025,0.0071428571428571435,0.025,0.02
