location,IR1,IR2,IR3,IR4,IR5,IR6,IR7,IR8,IR9,PIDP1,PIDP2,PIDP3,PIDP4,PIDP5,PIDP6,PIDP7,PIDP8,PIDP9,PIDD1,PIDD2,PIDD3,PIDD4,PIDD5,PIDD6,PIDD7,PIDD8,PIDD9,PIDI1,PIDI2,PIDI3,PIDI4,PIDI5,PIDI6,PIDI7,PIDI8,PIDI9,BI1,BI2,BI3,BI4,BI5,BI6,BI7,BI8,BI9
Wall,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,5,False,False,False,False,False,False,False,False,False
Wall,0,0,0,0,0,0,0,4,5,0,0,0,0,0,0,0,6,5,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,5,6,False,False,False,False,False,False,False,False,False
Wall,0,0,0,0,0,0,4,5,5,0,0,0,0,0,0,6,5,5,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,5,6,6,False,False,False,False,False,False,False,False,False
Wall,0,0,0,0,0,4,5,5,6,0,0,0,0,0,6,5,5,4,0,0,0,0,0,4,0,0,7,0,0,0,0,0,5,6,6,6,False,False,False,False,False,False,False,False,False
Wall,0,0,0,0,4,5,5,6,6,0,0,0,0,6,5,5,4,4,0,0,0,0,4,0,0,7,1,0,0,0,0,5,6,6,6,6,False,False,False,False,False,False,False,False,False
Wall,0,0,0,4,5,5,6,6,6,0,0,0,6,5,5,4,4,4,0,0,0,4,0,0,7,1,8,0,0,0,5,6,6,6,6,6,False,False,False,False,False,False,False,False,False
Wall,0,0,4,5,5,6,6,6,6,0,0,6,5,5,4,4,4,4,0,0,4,0,0,7,1,8,9,0,0,5,6,6,6,6,6,5,False,False,False,False,False,False,False,False,False
Wall,0,4,5,5,6,6,6,6,6,0,6,5,5,4,4,4,4,4,0,4,0,0,7,1,8,9,5,0,5,6,6,6,6,6,5,5,False,False,False,False,False,False,False,False,False
Wall,4,5,5,6,6,6,6,6,6,6,5,5,4,4,4,4,4,4,4,0,0,7,1,8,9,5,9,5,6,6,6,6,6,5,5,5,False,False,False,False,False,False,False,False,False
Wall,5,5,6,6,6,6,6,6,5,5,5,4,4,4,4,4,4,5,0,0,7,1,8,9,5,9,9,6,6,6,6,6,5,5,5,5,False,False,False,False,False,False,False,False,False
