location,IR1,IR5
Wall,9,9
Wall,9,9
Wall,9,9
Wall,9,9
Wall,9,9
Wall,9,9
Wall,9,9
Wall,9,9
Wall,9,9
Wall,9,9
Wall,9,9
Wall,9,9
Wall,9,9
Wall,9,9
Wall,9,9
Wall,9,9
Wall,9,9
Wall,9,9
Wall,9,9
Wall,9,9
Wall,9,9
Wall,9,9
Wall,9,9
Wall,9,9
Wall,9,9
Wall,9,9
Wall,9,9
Wall,9,9
Wall,9,9
Wall,9,9
Wall,9,9
Wall,9,9
Wall,9,9
Wall,9,9
Wall,9,9
Wall,9,9
Wall,9,9
Wall,9,9
Wall,9,9
Wall,9,9
Wall,9,9
Wall,9,9
Wall,9,9
Wall,9,9
Wall,9,9
Wall,9,9
Wall,9,9
Wall,9,9
Wall,9,9
Wall,9,9
Wall,9,9
Wall,9,9
Wall,9,9
Wall,9,9
Wall,9,9
Wall,9,9
Wall,9,9
Wall,9,9
Wall,9,9
Wall,9,9
Wall,9,9
Wall,9,9
Wall,9,9
Wall,9,9
Wall,9,9
Wall,9,9
Wall,9,9
Wall,9,9
Wall,9,9
Wall,9,9
Wall,9,9
Wall,9,9
Wall,9,9
Wall,9,9
Wall,9,9
Wall,9,9
Wall,9,9
Wall,9,9
Wall,9,9
Wall,9,9
Wall,9,9
Wall,9,9
Wall,9,9
